"X165";"X1";"X178";"X163";"X105";"X47";"X161";"X2";"X14";"X170";"X103";"X98";"X81";"X162";"X164";"X151";"X83";"X152";"X149";"X159";"X101";"y"
-65;135;-51;-98;53;-37;-85;190;113;-17;-89;-124;75;-109;-72;-33;-81;-57;-65;-79;-265;"4"
95;386;129;127;334;293;123;382;2;164;360;372;479;136;102;231;440;159;307;69;383;"1"
-45;-32;-36;-44;-34;-85;-11;-39;-104;57;-78;-57;-61;-39;-42;-33;-72;1;-63;66;-80;"5"
-69;-105;-65;-68;-89;-80;-42;-101;-80;-82;-69;-62;-58;-51;-71;-78;-74;-80;-58;-22;-63;"5"
27;-9;-73;18;41;-45;-2;-65;-43;4;15;9;-16;4;27;63;14;45;29;3;21;"5"
-25;55;-55;-64;42;82;-76;28;122;-12;26;-59;31;-79;-40;-25;22;-14;-45;-73;-28;"5"
-21;-55;128;95;42;-50;141;-9;-128;-125;-12;-47;-11;129;41;-65;3;-60;-58;99;-32;"4"
-118;1;-39;-109;-19;6;-110;-2;-15;-79;-18;-23;-91;-110;-104;-55;-64;-53;-58;-104;-9;"2"
291;-278;-40;418;123;-2;248;-246;14;-400;77;15;-27;349;419;45;-90;20;70;124;44;"1"
41;8;-11;-6;-16;-9;2;15;16;49;10;-68;-14;-5;13;13;7;12;3;27;-20;"4"
29;-5;-49;11;-39;-69;-9;15;-40;-38;-89;-24;-3;2;24;-40;-31;-33;-20;-54;-51;"5"
277;-167;103;-32;-225;233;-258;-230;223;423;-189;106;-299;-168;140;61;-235;67;-37;-211;-120;"1"
-18;92;-44;-43;-5;-174;-23;49;-107;-56;22;-71;98;-39;-32;25;103;5;22;3;28;"3"
83;15;68;112;-28;-163;129;12;24;-88;-50;-78;-46;121;100;-76;-72;-76;-44;100;-85;"4"
19;-24;20;3;-99;-38;-13;-15;10;32;-52;-36;13;-4;15;-19;8;-20;-22;-15;-31;"2"
-48;-135;37;-39;-14;41;-35;-133;-69;-49;-38;-48;15;-34;-37;-49;27;-43;-72;-29;-64;"3"
47;39;49;48;49;-8;54;41;59;43;44;59;13;50;49;76;26;77;79;63;45;"2"
18;9;3;2;-28;-28;-8;4;-52;34;-48;-64;2;-8;10;31;26;38;20;3;-63;"3"
8;-21;-13;-8;-91;-59;28;-5;-21;43;-103;77;-2;6;-4;3;2;1;10;52;-30;"4"
14;4;36;13;39;-236;4;24;5;3;40;22;0;5;13;-31;9;-32;-30;-29;42;"2"
342;410;763;278;467;-1139;181;451;-1107;415;419;245;-1018;237;315;-877;-1215;-719;-1044;39;395;"1"
-74;-24;-3;-34;-37;-11;-25;-27;7;-81;-44;-48;-101;-22;-44;59;-99;73;22;-16;-50;"2"
-48;-264;-486;-31;72;-32;3;-189;164;-231;51;47;-57;-18;-40;51;-52;42;48;41;51;"1"
-70;-4;-40;-31;-53;213;-14;40;183;-189;-121;-172;58;-28;-49;79;50;68;38;45;-174;"1"
172;593;-71;176;-888;574;169;328;342;312;-163;593;263;173;173;128;66;-131;436;103;602;"1"
26;-16;54;22;51;29;31;-15;4;56;54;53;7;28;20;28;18;21;36;23;53;"3"
-4;-20;-42;-16;-27;-67;-45;-38;-47;-26;-48;-74;-28;-38;-7;-22;-38;-24;-25;-49;-68;"5"
150;-340;-308;48;98;19;-13;-381;76;114;31;-184;122;9;92;-456;293;-401;-513;-43;-47;"1"
38;-30;-16;4;54;-31;-13;15;-49;-9;69;71;-8;-10;14;111;43;90;80;-13;86;"2"
-7;-1;-4;12;-62;0;9;18;24;-6;-55;-58;-95;12;6;32;-89;32;9;20;-72;"2"
112;-31;15;289;-131;-159;544;-10;-59;-8;-107;-99;-68;421;190;-104;-93;-38;-21;644;-98;"1"
-96;-44;-13;-80;-75;-19;-79;-46;-21;-79;-103;-99;-37;-75;-86;-7;-36;-8;-1;-74;-114;"2"
59;-73;-23;35;14;29;-27;-67;35;5;37;40;46;6;60;25;81;9;71;-60;49;"4"
4;-25;-59;24;62;-35;-3;-29;37;-78;57;-18;-5;21;14;-10;31;-18;-15;-28;18;"5"
54;7;23;51;-43;13;43;-2;-29;41;-21;-42;44;52;54;54;20;46;70;28;-7;"5"
2;90;12;5;71;65;44;60;-40;-50;-36;-82;-106;1;-11;27;-71;28;33;23;-86;"3"
58;112;15;82;30;-17;44;116;30;-23;7;-17;-12;85;67;58;11;55;35;-45;25;"4"
-21;-139;-39;-26;38;-1;-29;-140;-53;-2;56;25;2;-32;-27;-30;-10;-22;-25;-28;38;"3"
