"Total phenols";"Proanthocyanins";"Malic acid";"Hue";"OD280/OD315 of diluted wines";"Magnesium";"Ash";"Color intensity";"Alcalinity of ash";"Alcohol"
127;0.28;14.23;5.64;1.04;15.6;1.71;2.29;2.43;"1"
100;0.26;13.2;4.38;1.05;11.2;1.78;1.28;2.14;"1"
101;0.3;13.16;5.68;1.03;18.6;2.36;2.81;2.67;"1"
113;0.24;14.37;7.8;0.86;16.8;1.95;2.18;2.5;"1"
118;0.39;13.24;4.32;1.04;21.0;2.59;1.82;2.87;"1"
112;0.34;14.2;6.75;1.05;15.2;1.76;1.97;2.45;"1"
96;0.3;14.39;5.25;1.02;14.6;1.87;1.98;2.45;"1"
121;0.31;14.06;5.05;1.06;17.6;2.15;1.25;2.61;"1"
97;0.29;14.83;5.2;1.08;14.0;1.64;1.98;2.17;"1"
98;0.22;13.86;7.22;1.01;16.0;1.35;1.85;2.27;"1"
105;0.22;14.1;5.75;1.25;18.0;2.16;2.38;2.3;"1"
95;0.26;14.12;5.0;1.17;16.8;1.48;1.57;2.32;"1"
89;0.29;13.75;5.6;1.15;16.0;1.73;1.81;2.41;"1"
91;0.43;14.75;5.4;1.25;11.4;1.73;2.81;2.39;"1"
102;0.29;14.38;7.5;1.2;12.0;1.87;2.96;2.38;"1"
112;0.3;13.63;7.3;1.28;17.2;1.81;1.46;2.7;"1"
120;0.33;14.3;6.2;1.07;20.0;1.92;1.97;2.72;"1"
115;0.4;13.83;6.6;1.13;20.0;1.57;1.72;2.62;"1"
108;0.32;14.19;8.7;1.23;16.5;1.59;1.86;2.48;"1"
116;0.17;13.64;5.1;0.96;15.2;3.1;1.66;2.56;"1"
126;0.24;14.06;5.65;1.09;16.0;1.63;2.1;2.28;"1"
102;0.25;12.93;4.5;1.03;18.6;3.8;1.98;2.65;"1"
101;0.27;13.71;3.8;1.11;16.6;1.86;1.69;2.36;"1"
95;0.26;12.85;3.93;1.09;17.8;1.6;1.46;2.52;"1"
96;0.28;13.5;3.52;1.12;20.0;1.81;1.66;2.61;"1"
124;0.47;13.05;3.58;1.13;25.0;2.05;1.92;3.22;"1"
93;0.34;13.39;4.8;0.92;16.1;1.77;1.45;2.62;"1"
94;0.27;13.3;3.95;1.02;17.0;1.72;1.35;2.14;"1"
107;0.37;13.87;4.5;1.25;19.4;1.9;1.76;2.8;"1"
